Oat,#ecded3
Apricot,#e9ccc5
Olive,#abb86b
Straw,#f9d698
Arabian Spice,#9e5239
Coral Haze,#b87857
Fog,#ffffff
Glacier,#b6b5b8
Birch,#95948d
Graphite,#5b5f64
Smoke Blue,#6e7f92
Shadow,#6e8890
Sand,#c6ab9a
Pearl,#c6b4a4
Dune,#96795e
Mirage,#8e9d98
Taupe,#a29083
Concrete Gray,#909ea8
Mushroom,#aeadaf
Alloy,#767a82
